kernel_size,Type,Time(%),Time,Calls,Avg,Min,Max,Name
3,GPU activities,9.974382,5309.69,100,53.096,52.545,55.361,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
5,GPU activities,22.142856,13653.698,100,136.536,123.457,137.984,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
7,GPU activities,33.23007,23891.125,100,238.911,226.849,241.281,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
9,GPU activities,43.921595,37596.644,100,375.966,361.762,380.962,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
11,GPU activities,53.280281,54739.145,100,547.391,544.483,553.571,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
13,GPU activities,56.601197,62529.103,100,625.291,599.811,635.652,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
15,GPU activities,62.706223,80624.609,100,806.246,635.555,816.835,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
17,GPU activities,63.693464,83454.574,100,834.545,637.987,958.084,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
19,GPU activities,74.92182,143370.34,100,1433.703,1039.686,1615.306,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
21,GPU activities,74.002748,135633.609,100,1356.336,1084.582,1466.823,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
23,GPU activities,77.998776,169379.866,100,1693.798,1153.797,2006.153,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
25,GPU activities,80.653211,199503.35,100,1995.033,1360.422,2313.578,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
27,GPU activities,83.197073,237167.808,100,2371.678,1580.327,2867.533,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
29,GPU activities,85.132608,275544.019,100,2755.44,2203.499,3006.895,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
31,GPU activities,86.941493,319874.01,100,3198.74,2063.818,3856.916,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
33,GPU activities,88.324209,364492.463,100,3644.924,2353.068,4317.396,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
35,GPU activities,89.593744,415100.378,100,4151.003,2644.239,4915.707,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
37,GPU activities,90.642911,468264.411,100,4682.644,2923.791,5891.775,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
39,GPU activities,91.722053,534102.246,100,5341.022,3294.896,6328.414,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
41,GPU activities,92.421088,590063.082,100,5900.63,3588.463,7171.358,"void gaussian_blur<uchar3, uchar3, float3>(float const *, int, cv::cuda::PtrStepSz<uchar3>, cv::cuda::PtrStepSz<uchar3>)"
