KERNEL_SIZE,MAX_RUN_TIME,MIN_RUN_TIME,AVG_RUN_TIME,MEDIAN_RUN_TIME
3,76.1972,70.4216,71.0776,70.6812
5,184.052,181.047,182.208,182.048
7,433.542,386.434,396.028,388.518
9,689.238,608.292,623.388,611.045
11,960.651,886.63,895.542,890.739
13,1687.15,1222.03,1372.19,1349.81
15,1862.21,1623.25,1692.04,1661.17
17,2243.71,2071.6,2101.46,2091.69
19,2647.27,2551.32,2574.55,2571.64
21,3383.48,3100.72,3145.22,3112.62
23,3910.68,3700.37,3769.26,3741.34
25,4477.34,4348.45,4388.79,4376.65
27,5685.49,5081.39,5433.98,5601.68
29,5982.27,5802.81,5849.6,5840.14
31,6661.27,6597.83,6630.63,6631.63
33,7608.16,7513.84,7558.54,7565.18
35,8614.75,8524.05,8578.42,8583.54
37,14242.9,13879.4,13993.4,13987.5
39,10988.6,10684.3,10846.4,10854
41,12999.5,11921.4,12112.3,12037.2
